votu,taxa,consensus_domain,sub_domain_consensus
4Wh2oV_0h_scaffold_1647410,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1647819,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,unclassified Streptomyces",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1647954,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1648097,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1648315,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Pimelobacter",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1648458,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Martelella,Martelella mediterranea",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1649092,"Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,unclassified Arachidicoccus",Bacteria,Bacteroidetes/Chlorobi group
4Wh2oV_0h_scaffold_1649509,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,unclassified Streptomyces",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1649969,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1650194,Bacteria,Bacteria,Bacteria
4Wh2oV_0h_scaffold_1650468,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1650855,Bacteria,Bacteria,Bacteria
4Wh2oV_0h_scaffold_1652064,"Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus",Bacteria,Firmicutes
4Wh2oV_0h_scaffold_1652179,"Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum",Bacteria,delta/epsilon subdivisions
4Wh2oV_0h_scaffold_1653617,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales incertae sedis,Terrihabitans",Bacteria,Alphaproteobacteria
