taxonID,taxonomy,domain,phylum,class,order,family,genus,comparisonID,trt.code.1,trt.code.2,time,ape.obs,ape.boot.mean,ape.boot.median,ape.boot.CI.L,ape.boot.CI.U,b.obs,b.boot.mean,b.boot.median,b.boot.CI.L,b.boot.CI.U,f.gross.obs,f.gross.boot.mean,f.gross.boot.median,f.gross.boot.CI.L,f.gross.boot.CI.U,message,comparisonID.pop,group.code.0,group.code.t,r.net.obs,r.net.boot.mean,r.net.boot.median,r.net.boot.CI.L,r.net.boot.CI.U,f.net.obs,f.net.boot.mean,f.net.boot.median,f.net.boot.CI.L,f.net.boot.CI.U,N.tot.T0.obs.mean,N.tot.T0.boot.mean,N.tot.T0.boot.median,N.tot.T0.boot.CI.L,N.tot.T0.boot.CI.U,N.tot.Tt.obs.mean,N.tot.Tt.boot.mean,N.tot.Tt.boot.median,N.tot.Tt.boot.CI.L,N.tot.Tt.boot.CI.U,message.pop,d.obs,d.boot.mean,d.boot.median,d.boot.CI.L,d.boot.CI.U,f.death.obs,f.death.boot.mean,f.death.boot.median,f.death.boot.CI.L,f.death.boot.CI.U,N.light.Tt.obs,N.light.Tt.boot.mean,N.light.Tt.boot.median,N.light.Tt.boot.CI.L,N.light.Tt.boot.CI.U,sub_domain_consensus
sip5373,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Gaiellales,f_Gaiellaceae,g_Gaiella,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.020453355,0.02037731,0.020619684,-0.011137904,0.050625729,1726807.021,1661512.74,1675153.203,-955109.0256,4124043.724,28780.11701,27691.879,27919.22005,-15918.48376,68734.06207,none,T0.3,t0_16O,t3_16O.t3_18O,-38507927.73,-39204787.15,-39331588.24,-87148702.62,-394338.3145,-641798.7954,-653413.1191,-655526.4707,-1452478.377,-6572.305242,10181985.57,10253383.62,10181985.57,6797683.965,16623098.11,5368494.603,5352785.232,5265783.395,3430566.67,7667736.195,none,-40234734.75,-40866299.89,-40681873.31,-88336304.49,-1841403.138,-670578.9125,-681104.9981,-678031.2218,-1472271.742,-30690.0523,5152643.726,5145096.139,5016349.791,3260617.269,7535747.609,Actinobacteria
sip478,d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria,d_Bacteria,p_Actinobacteria,c_unclassified_Actinobacteria,o_unclassified_Actinobacteria,f_unclassified_Actinobacteria,g_unclassified_Actinobacteria,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.012587266,0.01277741,0.014378337,-0.029777998,0.049986445,1498975.312,1377396.673,1638212.162,-3915297.743,5266176.509,24982.92187,22956.61122,27303.53603,-65254.96239,87769.60849,none,T0.3,t0_16O,t3_16O.t3_18O,-38956136.07,-39253716.7,-39464434.26,-67650838.67,-5824771.848,-649268.9345,-654228.6117,-657740.571,-1127513.978,-97079.53079,13250984.84,13271170.39,13250984.84,11764964.99,15235638.31,8381467.832,8364455.798,8358035.37,5297787.634,12295089.23,none,-40455111.38,-40631113.37,-40696559.66,-68410437.68,-5981902.79,-674251.8564,-677185.2229,-678275.9944,-1140173.961,-99698.37983,8194095.918,8192281.213,8121385.137,4910491.164,12055459.64,Actinobacteria
sip5378,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_unclassified_Actinobacteria,f_unclassified_Actinobacteria,g_unclassified_Actinobacteria,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.027479477,0.027234368,0.026766878,-0.035894776,0.09283301,1568661.688,1463938.436,1477913.561,-2166494.046,4943668.65,26144.36147,24398.97393,24631.89269,-36108.2341,82394.47751,none,T0.3,t0_16O,t3_16O.t3_18O,-39063714.61,-39171287.67,-39866187.64,-62870348.16,-12185775.04,-651061.9101,-652854.7945,-664436.4607,-1047839.136,-203096.2506,10080439.62,10079820.04,10080439.62,7515091.68,12019610.25,5197475.294,5183409.081,5152341.889,3309979.502,7715804.961,none,-40632376.3,-40635226.11,-41648524.35,-65644547.31,-12955348.92,-677206.2716,-677253.7685,-694142.0726,-1094075.789,-215922.482,5001392.583,5000416.776,4929137.99,3029616.806,7568815.491,Actinobacteria
sip873,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Gaiellales,f_Gaiellaceae,g_Gaiella,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.033266368,0.032870395,0.032552031,-0.008867023,0.076332549,3411013.218,3253057.531,3345421.334,-970054.2956,7017570.844,56850.2203,54217.62552,55757.02223,-16167.57159,116959.5141,none,T0.3,t0_16O,t3_16O.t3_18O,-37569783.99,-37739894.98,-38407183.92,-65578137.85,1355489.189,-626163.0664,-628998.2497,-640119.7319,-1092968.964,22591.48648,12186393.4,12174792.2,12186393.4,11255726.25,13788032.43,7490170.399,7457305.323,7459257.398,4309932.875,12291141.36,none,-40980797.2,-40992952.51,-41846536.01,-69265665.97,-961252.8831,-683013.2867,-683215.8752,-697442.2669,-1154427.766,-16020.88139,7063793.746,7050673.132,6958671.696,3887185.919,11847651.49,Actinobacteria
sip22,d_Bacteria;p_Verrucomicrobia;c_Spartobacteria;o_Spartobacteria_genera_incertae_sedis;f_Spartobacteria_genera_incertae_sedis;g_Spartobacteria_genera_incertae_sedis,d_Bacteria,p_Verrucomicrobia,c_Spartobacteria,o_Spartobacteria_genera_incertae_sedis,f_Spartobacteria_genera_incertae_sedis,g_Spartobacteria_genera_incertae_sedis,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,-0.050237918,-0.050031697,-0.051538728,-0.150997948,0.073458264,-7849441.886,-7969948.986,-7750264.177,-27188799.72,9875326.512,-130824.0314,-132832.4831,-129171.0696,-453146.662,164588.7752,none,T0.3,t0_16O,t3_16O.t3_18O,-51834118.0,-52066815.44,-52740283.03,-90349009.37,-13305689.24,-863901.9666,-867780.2574,-879004.7171,-1505816.823,-221761.4873,16086485.2,16106898.08,16086485.2,12787140.59,18566276.96,9607220.45,9598546.149,9508462.268,5744892.458,13747164.29,none,-43984676.11,-44096866.46,-44818715.53,-87089558.63,-777422.5889,-733077.9352,-734947.7743,-746978.5922,-1451492.644,-12957.04315,10588400.69,10594789.77,10521229.25,5896689.704,15301853.76,Verrucomicrobia
sip5374,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Kineosporiaceae;g_Kineosporia,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Actinomycetales,f_Kineosporiaceae,g_Kineosporia,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.004790236,0.004938618,0.006641653,-0.049194614,0.048059782,322420.6141,334873.2914,428697.0642,-3101557.937,3237038.609,5373.676902,5581.221523,7144.95107,-51692.63228,53950.64348,none,T0.3,t0_16O,t3_16O.t3_18O,-56363855.24,-56474420.03,-56722022.86,-73062733.13,-37715788.61,-939397.5874,-941240.3338,-945367.0477,-1217712.219,-628596.4769,11318495.72,11342536.36,11318495.72,9013195.973,13070956.99,4273013.814,4283233.854,4234199.495,3316165.229,5806855.69,none,-56686275.86,-56809293.32,-56990653.07,-73785837.04,-37787009.09,-944771.2643,-946821.5553,-949844.2178,-1229763.951,-629783.4848,4232711.237,4241374.693,4177219.12,3120726.985,5736454.334,Actinobacteria
sip5353,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_unclassified_Actinobacteria,f_unclassified_Actinobacteria,g_unclassified_Actinobacteria,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.028357277,0.028128478,0.029681109,-0.033075871,0.081158725,9430527.922,9357438.766,9920613.914,-10796306.03,27580093.01,157175.4654,155957.3128,165343.5652,-179938.4339,459668.2168,none,T0.3,t0_16O,t3_16O.t3_18O,-49261872.26,-49535322.37,-50746690.13,-85694940.48,-10076777.06,-821031.2043,-825588.7061,-845778.1688,-1428249.008,-167946.2844,26114970.57,26139873.68,26114970.57,20907459.34,30514117.88,19957236.54,19947958.38,19957236.54,18310816.88,21661652.23,none,-58692400.18,-58892761.13,-58893388.61,-100669663.4,-13775687.96,-978206.6697,-981546.0189,-981556.4769,-1677827.724,-229594.7993,18778420.55,18778278.53,18763444.09,15982911.4,21650590.99,Actinobacteria
sip5349,d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_unclassified_Gammaproteobacteria;f_unclassified_Gammaproteobacteria;g_unclassified_Gammaproteobacteria,d_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_unclassified_Gammaproteobacteria,f_unclassified_Gammaproteobacteria,g_unclassified_Gammaproteobacteria,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.032207433,0.031946478,0.033363867,-0.021505222,0.074691827,15489592.47,15247938.84,16030918.7,-10478984.29,35917228.87,258159.8745,254132.3139,267181.9783,-174649.7382,598620.4811,none,T0.3,t0_16O,t3_16O.t3_18O,-53657441.62,-54076343.07,-54190307.87,-101568690.1,-4162042.013,-894290.6937,-901272.3845,-903171.7979,-1692811.501,-69367.36688,38839876.24,38868309.68,38839876.24,33948409.65,42431855.44,32132696.04,32108766.8,32094769.01,27680018.59,36880792.47,none,-69147034.09,-69324281.9,-70588604.04,-118383661.0,-12492731.24,-1152450.568,-1155404.698,-1176476.734,-1973061.017,-208212.1874,30196496.98,30202774.44,30079350.39,25231013.77,35902383.4,Gammaproteobacteria
sip49,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Solirubrobacterales,f_unclassified_Solirubrobacterales,g_unclassified_Solirubrobacterales,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.038848175,0.038103362,0.036174129,-0.017830288,0.100959022,4681672.726,4455141.864,4287310.571,-2447527.592,12136734.66,78027.87877,74252.3644,71455.17619,-40792.12654,202278.911,none,T0.3,t0_16O,t3_16O.t3_18O,-65252474.99,-65675589.08,-65728656.62,-99147810.24,-22045065.03,-1087541.25,-1094593.151,-1095477.61,-1652463.504,-367417.7506,17085162.63,17112504.99,17085162.63,15837385.0,19569065.87,8928603.258,8903056.352,8887222.293,5273018.177,14267395.74,none,-69934147.72,-70130730.95,-70685669.02,-105260312.3,-26374819.04,-1165569.129,-1168845.516,-1178094.484,-1754338.539,-439580.3173,8343394.167,8346163.619,8232772.688,4493563.566,13513852.69,Actinobacteria
sip25,d_Bacteria;p_unclassified_Bacteria;c_unclassified_Bacteria;o_unclassified_Bacteria;f_unclassified_Bacteria;g_unclassified_Bacteria,d_Bacteria,p_unclassified_Bacteria,c_unclassified_Bacteria,o_unclassified_Bacteria,f_unclassified_Bacteria,g_unclassified_Bacteria,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,-0.001442188,-0.001527436,-0.00236312,-0.049664835,0.053695101,-304990.1008,-400467.1671,-492103.4362,-10758114.82,11020641.97,-5083.168347,-6674.452786,-8201.723937,-179301.9137,183677.3661,none,T0.3,t0_16O,t3_16O.t3_18O,-86337815.08,-87149080.72,-86715637.91,-148973290.6,-26698816.63,-1438963.585,-1452484.679,-1445260.632,-2482888.176,-444980.2772,24581970.58,24665315.19,24581970.58,19034962.76,31530676.27,13789743.69,13771680.1,13773247.9,8887513.784,19507321.22,none,-86032824.98,-86748613.55,-85882807.25,-151187548.8,-24462138.09,-1433880.416,-1445810.226,-1431380.121,-2519792.48,-407702.3015,13827867.46,13821738.5,13777458.3,8488352.577,19762797.99,unclassified
