taxonID,taxonomy,domain,phylum,class,order,family,genus,comparisonID,trt.code.1,trt.code.2,time,ape.obs,ape.boot.mean,ape.boot.median,ape.boot.CI.L,ape.boot.CI.U,b.obs,b.boot.mean,b.boot.median,b.boot.CI.L,b.boot.CI.U,f.gross.obs,f.gross.boot.mean,f.gross.boot.median,f.gross.boot.CI.L,f.gross.boot.CI.U,message,comparisonID.pop,group.code.0,group.code.t,r.net.obs,r.net.boot.mean,r.net.boot.median,r.net.boot.CI.L,r.net.boot.CI.U,f.net.obs,f.net.boot.mean,f.net.boot.median,f.net.boot.CI.L,f.net.boot.CI.U,N.tot.T0.obs.mean,N.tot.T0.boot.mean,N.tot.T0.boot.median,N.tot.T0.boot.CI.L,N.tot.T0.boot.CI.U,N.tot.Tt.obs.mean,N.tot.Tt.boot.mean,N.tot.Tt.boot.median,N.tot.Tt.boot.CI.L,N.tot.Tt.boot.CI.U,message.pop,d.obs,d.boot.mean,d.boot.median,d.boot.CI.L,d.boot.CI.U,f.death.obs,f.death.boot.mean,f.death.boot.median,f.death.boot.CI.L,f.death.boot.CI.U,N.light.Tt.obs,N.light.Tt.boot.mean,N.light.Tt.boot.median,N.light.Tt.boot.CI.L,N.light.Tt.boot.CI.U,sub_domain_consensus
sip5439,d_Bacteria;p_unclassified_Bacteria;c_unclassified_Bacteria;o_unclassified_Bacteria;f_unclassified_Bacteria;g_unclassified_Bacteria,d_Bacteria,p_unclassified_Bacteria,c_unclassified_Bacteria,o_unclassified_Bacteria,f_unclassified_Bacteria,g_unclassified_Bacteria,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.183078775,-0.183208413,-0.177623077,-0.642741379,0.112478354,-421833.63,-423920.0914,-396142.8802,-1470179.928,249217.0627,-7030.5605,-7065.334857,-6602.381337,-24502.99879,4153.617712,Warning: no occurrences in rep rB_t168_16O & rB_t24_16O & rB_t48_16O & rB_t72_16O (t24_16O/t48_16O/t72_16O/t3_16O/t168_16O),T0.6,t0_16O,t24_16O.t24_18O,-2371109.336,-2373789.257,-2398200.865,-3464046.456,-1123707.714,-39518.48893,-39563.15428,-39970.01442,-57734.10759,-18728.46191,3506474.351,3503616.124,3506474.351,2814738.57,4241823.896,1135365.015,1129826.867,1098268.23,302998.7482,2208889.738,Warning: no occurrences in rep rB_t24_16O (t24_16O/t24_18O),-1949275.706,-1949869.166,-1972714.796,-3311660.487,-302429.8512,-32487.92843,-32497.81943,-32878.57994,-55194.34146,-5040.49752,1557198.645,1553746.959,1518248.556,311744.4948,3007968.352,unclassified
sip93,d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Planctomycetales;f_Planctomycetaceae;g_Aquisphaera,d_Bacteria,p_Planctomycetes,c_Planctomycetia,o_Planctomycetales,f_Planctomycetaceae,g_Aquisphaera,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.017723448,-0.018214538,-0.020453183,-0.088124717,0.07243128,-83142.2311,-82242.6729,-95700.29945,-422826.2787,357533.2846,-1385.703852,-1370.711215,-1595.004991,-7047.104645,5958.888076,none,T0.6,t0_16O,t24_16O.t24_18O,-2178164.687,-2198312.551,-2164404.183,-4073438.158,-603576.1312,-36302.74479,-36638.54252,-36073.40305,-67890.63597,-10059.60219,4638364.477,4658999.701,4638364.477,3422951.878,6415205.457,2460199.79,2460687.15,2445472.434,1531248.321,3450163.65,none,-2095022.456,-2116069.878,-2096361.802,-4024212.154,-428316.0287,-34917.04093,-35267.83131,-34939.36336,-67070.20257,-7138.600478,2543342.021,2542929.823,2523995.919,1507023.494,3565427.232,Planctomycetes
sip652,d_Bacteria;p_unclassified_Bacteria;c_unclassified_Bacteria;o_unclassified_Bacteria;f_unclassified_Bacteria;g_unclassified_Bacteria,d_Bacteria,p_unclassified_Bacteria,c_unclassified_Bacteria,o_unclassified_Bacteria,f_unclassified_Bacteria,g_unclassified_Bacteria,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.070102545,-0.070418881,-0.068873663,-0.173275373,0.019000067,-414355.7121,-406303.48,-401982.1067,-1059805.442,123824.1892,-6905.928535,-6771.724667,-6699.701779,-17663.42404,2063.736486,none,T0.6,t0_16O,t24_16O.t24_18O,-2561697.5,-2556573.839,-2532414.75,-3465869.654,-1706188.186,-42694.95834,-42609.56398,-42206.9125,-57764.49423,-28436.46977,5751220.655,5747153.582,5751220.655,5339401.922,6096010.078,3189523.154,3190579.743,3203365.84,2372804.171,3954116.582,none,-2147341.788,-2150270.359,-2136676.282,-3232989.099,-1107607.148,-35789.02981,-35837.83931,-35611.27136,-53883.15165,-18460.11913,3603878.866,3596883.224,3595961.613,2600714.349,4551762.551,unclassified
sip242,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Nocardioidaceae;g_Marmoricola,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Actinomycetales,f_Nocardioidaceae,g_Marmoricola,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,0.086348022,0.086278632,0.086357353,-0.005192369,0.180715785,273485.6428,275027.2362,270871.0105,-15842.27364,586997.8674,4558.094046,4583.78727,4514.516842,-264.037894,9783.29779,none,T0.6,t0_16O,t24_16O.t24_18O,-2134459.385,-2144434.141,-2140648.597,-3265006.479,-940341.9626,-35574.32309,-35740.56902,-35677.47662,-54416.77464,-15672.36604,3442449.25,3454046.648,3442449.25,2275366.867,4268212.514,1307989.865,1309612.507,1311139.64,692842.3546,1918863.821,none,-2407945.028,-2419461.378,-2425096.322,-3610937.489,-1143231.333,-40132.41713,-40324.35629,-40418.27203,-60182.29148,-19053.85556,1034504.222,1034585.271,1039221.191,316072.246,1742436.724,Actinobacteria
sip155,d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_unclassified_Myxococcales;g_unclassified_Myxococcales,d_Bacteria,p_Proteobacteria,c_Deltaproteobacteria,o_Myxococcales,f_unclassified_Myxococcales,g_unclassified_Myxococcales,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.034762123,-0.035173346,-0.037068804,-0.166503003,0.158980877,-250476.6371,-255980.0108,-263119.4236,-1267931.18,1135684.844,-4174.610618,-4266.333514,-4385.323726,-21132.18634,18928.08073,none,T0.6,t0_16O,t24_16O.t24_18O,-3109719.883,-3102638.5,-3123737.539,-3992462.225,-2007286.735,-51828.66471,-51710.64167,-52062.29231,-66541.03709,-33454.77891,5851221.518,5843075.481,5851221.518,5083314.857,6325455.782,2741501.635,2740436.981,2713450.621,1966663.198,3577146.031,none,-2859243.246,-2846658.489,-2862430.843,-4439443.607,-1312773.513,-47654.0541,-47444.30815,-47707.18071,-73990.72679,-21879.55855,2991978.272,2996416.992,3011486.81,1528516.778,4421040.26,Deltaproteobacteria
sip5356,d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae 1;g_Geobacillus,d_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Bacillaceae 1,g_Geobacillus,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.002073217,-0.002523618,-0.002218059,-0.031910415,0.02444843,-40052.09068,-53110.62301,-42129.50485,-629386.0954,456124.3887,-667.5348447,-885.1770502,-702.1584142,-10489.76826,7602.073144,none,T0.6,t0_16O,t24_16O.t24_18O,-2979570.093,-2976346.796,-2989810.902,-5629325.121,-256105.2475,-49659.50155,-49605.77994,-49830.18169,-93822.08535,-4268.420791,13937980.5,13934699.26,13937980.5,12453572.99,16304094.18,10958410.4,10958352.47,10919000.31,8943491.584,13308750.88,none,-2939518.002,-2923236.173,-2934842.5,-5538608.875,-181529.2126,-48991.96671,-48720.60289,-48914.04167,-92310.14792,-3025.486876,10998462.49,11011463.09,10921836.45,9100610.968,13350652.33,Firmicutes
sip239,d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria,d_Bacteria,p_Actinobacteria,c_unclassified_Actinobacteria,o_unclassified_Actinobacteria,f_unclassified_Actinobacteria,g_unclassified_Actinobacteria,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,0.034849821,0.034779634,0.036629795,-0.064635926,0.123123617,295547.7154,289933.2808,300253.4441,-552905.577,1029418.204,4925.795257,4832.221347,5004.224068,-9215.09295,17156.97007,none,T0.6,t0_16O,t24_16O.t24_18O,-2921894.546,-2912897.697,-2972465.103,-5161714.759,-395354.7744,-48698.24244,-48548.29494,-49541.08505,-86028.57932,-6589.246241,6945106.969,6940750.506,6945106.969,5450837.273,8390079.09,4023212.423,4027852.81,3953036.824,2205500.605,6044787.431,none,-3217442.262,-3202830.977,-3225707.766,-5632803.73,-621028.3647,-53624.03769,-53380.51629,-53761.79611,-93880.06216,-10350.47275,3727664.708,3737919.529,3726389.401,1762201.9,5855651.2,Actinobacteria
sip5396,d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp1;o_Granulicella;f_Granulicella;g_Granulicella,d_Bacteria,p_Acidobacteria,c_Acidobacteria_Gp1,o_Granulicella,f_Granulicella,g_Granulicella,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.00324744,-0.003495295,-0.004076447,-0.044931958,0.045712722,-8295.066044,-6403.312114,-10451.22858,-112688.116,129667.9119,-138.2511007,-106.7218686,-174.187143,-1878.135267,2161.131864,none,T0.6,t0_16O,t24_16O.t24_18O,-3203828.21,-3217026.513,-3247066.414,-4676774.591,-1389394.049,-53397.13683,-53617.10856,-54117.77357,-77946.24319,-23156.56748,4940628.108,4958969.941,4940628.108,3006311.287,6214997.039,1736799.899,1741943.428,1722884.802,1131534.093,2461000.039,none,-3195533.144,-3210623.201,-3258026.555,-4709596.718,-1375894.546,-53258.88573,-53510.38669,-54300.44258,-78493.27864,-22931.57577,1745094.965,1748346.74,1732601.111,1089379.461,2493667.099,Acidobacteria
sip124,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Gaiellales,f_Gaiellaceae,g_Gaiella,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.002248331,-0.001561212,-0.002285668,-0.037376097,0.035642797,-22388.50189,-22030.05895,-22102.2736,-407876.7086,338427.2058,-373.1416982,-367.1676491,-368.3712266,-6797.945143,5640.45343,none,T0.6,t0_16O,t24_16O.t24_18O,-3481202.92,-3505074.572,-3520134.311,-6346556.403,-766912.5678,-58020.04867,-58417.90953,-58668.90518,-105775.9401,-12781.87613,9287081.779,9310589.827,9287081.779,8126697.721,11448344.54,5805878.859,5805515.255,5805878.859,3563362.352,8137345.881,none,-3458814.418,-3483044.513,-3516852.539,-6316650.084,-759590.7479,-57646.90697,-58050.74188,-58614.20898,-105277.5014,-12659.8458,5828267.361,5827545.314,5793884.77,3688183.65,8123772.53,Actinobacteria
sip3956,d_Bacteria;p_unclassified_Bacteria;c_unclassified_Bacteria;o_unclassified_Bacteria;f_unclassified_Bacteria;g_unclassified_Bacteria,d_Bacteria,p_unclassified_Bacteria,c_unclassified_Bacteria,o_unclassified_Bacteria,f_unclassified_Bacteria,g_unclassified_Bacteria,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.014436249,-0.01443532,-0.019450223,-0.179591467,0.166050721,-71091.71646,-80734.88972,-97633.55494,-925142.4342,748576.3464,-1184.861941,-1345.581495,-1627.225916,-15419.04057,12476.27244,Warning: no occurrences in rep rC_t24_16O (t24_16O/t168_16O/t48_16O/t72_16O/t3_16O),T0.6,t0_16O,t24_16O.t24_18O,-3604829.732,-3637238.65,-3643323.744,-6044616.096,-1380992.854,-60080.49553,-60620.64416,-60722.0624,-100743.6016,-23016.54756,4888290.422,4913635.015,4888290.422,2650899.066,7477966.512,1283460.69,1276396.365,1269334.226,571068.8188,2137255.382,Warning: no occurrences in rep rC_t24_16O (t24_16O/t24_18O),-3533738.015,-3556503.76,-3582768.51,-6138240.734,-1170163.692,-58895.63359,-59275.06267,-59712.80851,-102304.0122,-19502.7282,1354552.407,1357131.255,1353851.554,163960.9527,2624293.641,unclassified
sip518,d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria,d_Bacteria,p_Actinobacteria,c_unclassified_Actinobacteria,o_unclassified_Actinobacteria,f_unclassified_Actinobacteria,g_unclassified_Actinobacteria,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.035051591,-0.034567146,-0.035355641,-0.111024545,0.053349999,-190295.3976,-193518.0973,-185635.1624,-723045.5198,272957.2794,-3171.58996,-3225.301622,-3093.919374,-12050.75866,4549.287991,Warning: no occurrences in rep rA_t168_16O & rA_t72_16O & rC_t48_16O (t48_16O/t24_16O/t3_16O/t168_16O/t72_16O),T0.6,t0_16O,t24_16O.t24_18O,-4000031.125,-4005066.316,-4019305.053,-6355721.244,-1360004.441,-66667.18542,-66751.10526,-66988.41755,-105928.6874,-22666.74069,7789806.971,7803674.202,7789806.971,6826543.381,8931559.033,3789775.846,3798607.886,3775353.465,1685974.338,6402835.737,none,-3809735.728,-3811548.218,-3841354.255,-6228051.033,-1139964.025,-63495.59546,-63525.80364,-64022.57092,-103800.8505,-18999.40042,3980071.243,3992125.984,3930532.962,1839477.609,6561731.319,Actinobacteria
sip2050,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Gaiellales,f_Gaiellaceae,g_Gaiella,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,0.079345327,0.078356948,0.07836311,0.030494864,0.125434906,356548.561,355276.7348,342339.1452,106923.4876,654343.9626,5942.476017,5921.278913,5705.65242,1782.058127,10905.73271,Warning: no occurrences in rep rA_t168_16O & rA_t24_16O & rA_t48_16O & rC_t24_16O (t72_16O/t3_16O/t168_16O/t48_16O/t24_16O),T0.6,t0_16O,t24_16O.t24_18O,-3553901.541,-3605155.436,-3582845.365,-7335257.11,279426.4374,-59231.69235,-60085.92394,-59714.08942,-122254.2852,4657.10729,4553772.706,4604867.755,4553772.706,502451.4048,8581341.826,999871.1652,999712.3192,999871.1652,214574.3546,1838741.366,Warning: no occurrences in rep rA_t24_16O & rC_t24_16O (t24_16O/t24_18O),-3910450.102,-3960432.171,-3952633.657,-7710701.077,-202252.7339,-65174.16836,-66007.20285,-65877.22762,-128511.6846,-3370.878899,643322.6042,644435.5843,642343.8181,-181845.1767,1485615.784,Actinobacteria
sip478,d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria,d_Bacteria,p_Actinobacteria,c_unclassified_Actinobacteria,o_unclassified_Actinobacteria,f_unclassified_Actinobacteria,g_unclassified_Actinobacteria,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,0.023519335,0.023614819,0.023241801,-0.038776973,0.092517792,360576.0593,350108.9508,349757.2084,-644688.6571,1454175.368,6009.600988,5835.14918,5829.286807,-10744.81095,24236.25614,none,T0.6,t0_16O,t24_16O.t24_18O,-3677073.258,-3695970.831,-3706283.245,-7196693.61,-19675.53576,-61284.5543,-61599.51384,-61771.38742,-119944.8935,-327.9255959,13250984.84,13271170.39,13250984.84,11764964.99,15235638.31,9573911.583,9575199.555,9573911.583,6159997.365,13144685.24,none,-4037649.317,-4046079.781,-4103561.108,-7758555.916,-150093.6767,-67294.15528,-67434.66302,-68392.68513,-129309.2653,-2501.561278,9213335.524,9225090.604,9176777.068,5902147.182,12538913.71,Actinobacteria
sip873,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Gaiellales,f_Gaiellaceae,g_Gaiella,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.023614121,-0.024184096,-0.023407781,-0.089314836,0.036286433,-310015.5035,-343439.7946,-296960.3517,-1362546.139,441413.0642,-5166.925058,-5723.996577,-4949.339195,-22709.10231,7356.884404,none,T0.6,t0_16O,t24_16O.t24_18O,-4619628.442,-4611940.784,-4533063.357,-7871299.042,-1500450.603,-76993.80736,-76865.67973,-75551.05595,-131188.3174,-25007.51004,12186393.4,12174792.2,12186393.4,11255726.25,13788032.43,7566764.955,7562851.412,7581802.967,4771197.435,10361766.7,none,-4309612.938,-4268500.989,-4230540.733,-7536571.195,-1052543.694,-71826.8823,-71141.68315,-70509.01222,-125609.5199,-17542.39491,7876780.459,7906291.207,7915530.259,4994845.901,10746858.38,Actinobacteria
sip5374,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Kineosporiaceae;g_Kineosporia,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Actinomycetales,f_Kineosporiaceae,g_Kineosporia,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.100156676,-0.100087825,-0.097084643,-0.184463705,-0.035096526,-885077.3405,-872618.796,-860492.2175,-1495485.086,-308355.5541,-14751.28901,-14543.6466,-14341.53696,-24924.75143,-5139.259234,none,T0.6,t0_16O,t24_16O.t24_18O,-6011935.347,-6026127.129,-6029460.055,-8545711.652,-3359650.274,-100198.9225,-100435.4521,-100491.0009,-142428.5275,-55994.17124,11318495.72,11342536.36,11318495.72,9013195.973,13070956.99,5306560.372,5316409.229,5249156.382,3616489.173,7272050.937,none,-5126858.007,-5153508.333,-5134352.297,-7671821.223,-2444156.445,-85447.63345,-85891.80554,-85572.53829,-127863.687,-40735.94075,6191637.713,6189028.025,6116750.718,4426935.102,8179391.514,Actinobacteria
sip550,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Gaiellales,f_Gaiellaceae,g_Gaiella,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.032370532,-0.032588637,-0.033422356,-0.098267346,0.0430829,-283554.1122,-285240.625,-277449.8227,-927278.8573,378510.5978,-4725.901869,-4754.010416,-4624.163712,-15454.64762,6308.509964,Warning: no occurrences in rep rA_t48_16O (t48_16O/t72_16O/t24_16O/t3_16O/t168_16O),T0.6,t0_16O,t24_16O.t24_18O,-5517571.125,-5531869.232,-5655978.732,-7935679.069,-2466646.736,-91959.51875,-92197.82053,-94266.31221,-132261.3178,-41110.77893,10816897.26,10825369.65,10816897.26,9716341.348,11402753.11,5299326.137,5293500.418,5168123.261,2998778.697,8153389.427,none,-5234017.013,-5246628.607,-5322179.099,-7739543.89,-2114463.307,-87233.61688,-87443.81011,-88702.98499,-128992.3982,-35241.05511,5582880.249,5578741.043,5495391.995,3243069.888,8554925.255,Actinobacteria
sip49,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Solirubrobacterales,f_unclassified_Solirubrobacterales,g_unclassified_Solirubrobacterales,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.014830395,-0.015575862,-0.016817381,-0.080011387,0.050360806,-230545.8199,-229948.6874,-242362.0537,-1228859.815,862107.1006,-3842.430331,-3832.478123,-4039.367561,-20480.99692,14368.45168,none,T0.6,t0_16O,t24_16O.t24_18O,-6245204.341,-6263907.472,-6370251.437,-11535454.26,-173341.9791,-104086.739,-104398.4579,-106170.8573,-192257.5709,-2889.032984,17085162.63,17112504.99,17085162.63,15837385.0,19569065.87,10839958.29,10848597.52,10670864.53,5906736.23,16820913.0,none,-6014658.521,-6033958.785,-6138688.345,-11495954.54,-119375.7265,-100244.3087,-100565.9797,-102311.4724,-191599.2424,-1989.595441,11070504.11,11078546.2,10842332.48,6320333.855,16845730.92,Actinobacteria
sip5378,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_unclassified_Actinobacteria,f_unclassified_Actinobacteria,g_unclassified_Actinobacteria,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,0.002814007,0.002662916,0.004232111,-0.085808309,0.078624823,18861.6617,11516.21979,27807.42469,-590640.1348,507956.8996,314.3610284,191.9369965,463.4570781,-9844.002246,8465.948327,none,T0.6,t0_16O,t24_16O.t24_18O,-6330543.243,-6327263.527,-6408586.042,-8964756.807,-3070413.158,-105509.054,-105454.3921,-106809.7674,-149412.6134,-51173.55263,10080439.62,10079820.04,10080439.62,7515091.68,12019610.25,3749896.378,3752556.512,3665786.326,1892810.806,5961459.108,none,-6349404.905,-6338779.747,-6418800.376,-9119199.037,-3018387.238,-105823.4151,-105646.3291,-106980.0063,-151986.6506,-50306.45396,3731034.716,3741040.293,3635776.564,1774898.922,6085118.794,Actinobacteria
sip172,d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp16;o_Gp16;f_Gp16;g_Gp16,d_Bacteria,p_Acidobacteria,c_Acidobacteria_Gp16,o_Gp16,f_Gp16,g_Gp16,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.03421734,-0.034379415,-0.032807565,-0.109925199,0.036486988,-850484.5896,-838736.0739,-800740.3136,-2667925.621,913129.1371,-14174.74316,-13978.93456,-13345.67189,-44465.42702,15218.81895,none,T0.6,t0_16O,t24_16O.t24_18O,-13126708.75,-13234163.19,-13295517.24,-23873193.32,-3392738.265,-218778.4791,-220569.3865,-221591.954,-397886.5553,-56545.63775,27947931.14,28041360.11,27947931.14,21926437.6,36908506.07,14821222.39,14807196.92,14608693.56,8733678.599,22693840.28,none,-12276224.16,-12395427.12,-12509159.66,-22734260.58,-2067357.761,-204603.736,-206590.452,-208485.9944,-378904.3431,-34455.96269,15671706.98,15645932.99,15158718.77,9438471.034,23558031.24,Acidobacteria
sip48,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Solirubrobacterales,f_unclassified_Solirubrobacterales,g_unclassified_Solirubrobacterales,2,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t24_18O,24,-0.036728508,-0.036956077,-0.037191311,-0.098872542,0.028615355,-872715.2281,-859811.5832,-864991.6779,-2346701.68,741401.5325,-14545.2538,-14330.19305,-14416.52796,-39111.69466,12356.69221,none,T0.6,t0_16O,t24_16O.t24_18O,-14361265.85,-14518266.99,-14376880.96,-29124078.43,-1320054.354,-239354.4308,-241971.1165,-239614.6827,-485401.3072,-22000.9059,29468868.17,29611323.94,29468868.17,18142971.34,43695875.02,15107602.33,15093056.94,14858432.24,9534471.339,21601199.03,none,-13488550.62,-13658455.41,-13745927.97,-28198556.17,-477150.7008,-224809.177,-227640.9235,-229098.7994,-469975.9362,-7952.511681,15980317.55,15952868.53,15648071.85,10151618.05,22726832.29,Actinobacteria
sip578,d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas,d_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Pseudomonadaceae,g_Pseudomonas,3,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t48_18O,48,0.488020685,0.488129916,0.480186165,0.289829279,0.769140296,214068.8384,232115.5243,209792.4207,51984.71062,576818.9528,3567.813974,3868.592071,3496.540345,866.4118436,9613.649213,Warning: no occurrences in rep rA_t168_16O & rA_t24_16O & rA_t3_16O & rA_t48_16O & rA_t72_16O & rB_t168_16O & rB_t24_16O & rB_t3_16O & rB_t48_16O & rB_t72_16O & rC_t168_16O & rC_t48_16O & rC_t72_16O (t48_16O/t72_16O/t168_16O/t24_16O/t3_16O),T0.9,t0_16O,t48_16O.t48_18O,-100273.1305,-98180.11253,-100273.1305,-378006.53,96879.2016,-1671.218842,-1636.335209,-1671.218842,-6300.108833,1614.65336,308220.8784,303289.3444,308220.8784,0.0,924662.6353,107674.6174,106929.1193,107674.6174,2379.66587,235260.4423,Warning: no occurrences in rep rB_t0_16O & rC_t0_16O (t0_16O) and rep rA_t48_16O & rB_t48_16O & rC_t48_16O (t48_16O/t48_18O),-314341.969,-328625.9808,-306016.7647,-752683.9879,-1307.862834,-5239.032816,-5477.099681,-5100.279412,-12544.73313,-21.7977139,-106394.2211,-125331.1461,-106714.71,-502108.8721,128227.2321,Gammaproteobacteria
sip5478,d_Bacteria;p_Verrucomicrobia;c_Subdivision3;o_Subdivision3_genera_incertae_sedis;f_Subdivision3_genera_incertae_sedis;g_Subdivision3_genera_incertae_sedis,d_Bacteria,p_Verrucomicrobia,c_Subdivision3,o_Subdivision3_genera_incertae_sedis,f_Subdivision3_genera_incertae_sedis,g_Subdivision3_genera_incertae_sedis,3,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t48_18O,48,-0.011964475,-0.01213235,-0.010831927,-0.244898657,0.129396318,-8962.86237,-8656.125413,-7438.538729,-175346.0311,103152.0814,-149.3810395,-144.2687569,-123.9756455,-2922.433852,1719.201357,Warning: no occurrences in rep rB_t48_16O & rC_t3_16O (t3_16O/t168_16O/t48_16O/t72_16O/t24_16O),T0.9,t0_16O,t48_16O.t48_18O,-433366.439,-436884.5992,-439643.7248,-743334.7342,-130732.9499,-7222.773984,-7281.409987,-7327.395414,-12388.91224,-2178.882498,1768628.676,1771926.106,1768628.676,1184720.495,2182612.104,901895.7981,898156.9072,905958.1059,512232.0859,1222782.552,Warning: no occurrences in rep rB_t48_16O (t48_16O/t48_18O),-424403.5767,-428228.4738,-431987.9169,-756216.242,-79052.26462,-7073.392944,-7137.14123,-7199.798615,-12603.60403,-1317.537744,910858.6605,906813.0326,916528.579,481117.6964,1277982.183,Verrucomicrobia
sip5565,d_Bacteria;p_unclassified_Bacteria;c_unclassified_Bacteria;o_unclassified_Bacteria;f_unclassified_Bacteria;g_unclassified_Bacteria,d_Bacteria,p_unclassified_Bacteria,c_unclassified_Bacteria,o_unclassified_Bacteria,f_unclassified_Bacteria,g_unclassified_Bacteria,3,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t48_18O,48,0.067296236,0.068466011,0.061697028,-0.138426374,0.291760058,42785.76073,43016.46277,37919.3372,-92808.42331,194676.1886,713.0960122,716.9410461,631.9889533,-1546.807055,3244.603143,Warning: no occurrences in rep rA_t48_16O & rB_t48_16O & rC_t24_16O & rC_t72_16O (t72_16O/t168_16O/t24_16O/t48_16O/t3_16O),T0.9,t0_16O,t48_16O.t48_18O,-420148.9267,-424137.2624,-421125.4563,-863780.3603,-42660.18373,-7002.482111,-7068.954373,-7018.757604,-14396.33934,-711.0030622,1522645.055,1532243.245,1522645.055,1013890.19,2369324.478,682347.2012,683968.7206,682347.2012,204280.9942,1189387.639,Warning: no occurrences in rep rA_t48_16O & rB_t48_16O (t48_16O/t48_18O),-462934.6874,-467153.7251,-455655.272,-955857.1825,-68367.0377,-7715.578123,-7785.895419,-7594.254533,-15930.95304,-1139.450628,639561.4404,640952.2578,637848.8312,149278.4042,1145823.694,unclassified
